Date,Open,High,Low,Close,Adj Close,Volume
2021-07-29,84.870003,85.220001,83.500000,83.570000,83.076187,10839500
2021-07-30,83.150002,84.650002,82.849998,83.620003,83.125893,7055900
2021-08-02,84.029999,84.169998,82.540001,82.760002,82.270973,6225000
2021-08-03,80.989998,81.449997,77.809998,79.830002,79.358292,17329600
2021-08-04,83.510002,83.900002,80.449997,81.519997,81.038300,19758100
2021-08-05,81.559998,82.040001,79.349998,80.320000,79.845390,9871300
2021-08-06,79.900002,82.500000,79.900002,82.430000,81.942924,9692100
2021-08-09,81.860001,82.389999,81.239998,81.410004,80.928955,6082900
2021-08-10,81.760002,83.360001,81.269997,82.989998,82.499611,7770000
2021-08-11,83.510002,86.230003,83.080002,85.000000,84.497742,13387700
2021-08-12,85.110001,85.480003,83.169998,85.169998,84.666733,7353200
2021-08-13,86.300003,86.389999,83.449997,83.849998,83.354530,5369200
2021-08-16,83.500000,84.029999,83.050003,83.849998,83.354530,4320800
2021-08-17,83.050003,84.389999,82.470001,83.370003,82.877373,4780300
2021-08-18,83.599998,84.139999,82.769997,82.830002,82.340561,4559800
2021-08-19,82.209999,84.540001,82.190002,83.169998,82.678551,5449700
2021-08-20,82.870003,83.669998,82.220001,82.629997,82.141739,7366200
2021-08-23,82.930000,83.489998,81.889999,82.220001,81.734169,8666100
2021-08-24,82.750000,82.809998,81.190002,81.790001,81.306709,11799500
2021-08-25,82.120003,82.120003,80.000000,80.809998,80.332497,10410300
2021-08-26,81.589996,82.489998,81.190002,81.250000,80.769897,7365000
2021-08-27,81.449997,82.660004,81.300003,82.430000,81.942924,6000600
2021-08-30,81.500000,81.559998,79.919998,81.120003,80.640671,8405200
2021-08-31,81.480003,83.379997,81.199997,82.370003,81.883278,9477900
2021-09-01,82.730003,83.379997,82.000000,82.300003,81.813698,6226000
2021-09-02,82.750000,82.849998,81.139999,81.309998,80.829536,8433800
2021-09-03,81.209999,81.650002,80.779999,81.180000,80.700310,5605400
2021-09-07,81.410004,81.419998,77.889999,78.470001,78.006325,15531700
2021-09-08,78.470001,80.320000,78.269997,80.290001,79.815567,8227700
2021-09-09,78.809998,79.410004,77.129997,78.050003,77.588806,11325800
2021-09-10,78.160004,80.839996,77.339996,79.639999,79.169411,12098700
2021-09-13,80.120003,80.760002,78.150002,78.529999,78.065971,7337400
2021-09-14,78.779999,78.889999,77.660004,77.839996,77.380043,6235300
2021-09-15,77.730003,78.769997,77.099998,78.250000,77.787621,5526500
2021-09-16,78.320000,79.599998,78.040001,79.279999,78.811539,9376800
2021-09-17,79.419998,80.500000,78.000000,79.559998,79.089882,11009600
2021-09-20,78.639999,78.820000,74.870003,76.180000,75.729858,12231900
2021-09-21,76.610001,76.639999,72.940002,73.029999,72.598465,14206900
2021-09-22,73.190002,74.029999,72.199997,72.809998,72.379768,10297300
2021-09-23,73.129997,75.470001,72.709999,74.669998,74.228775,9311100
2021-09-24,74.500000,75.589996,74.110001,75.260002,74.815292,7429800
2021-09-27,75.029999,75.949997,73.690002,75.080002,74.636360,6517900
2021-09-28,74.660004,77.080002,74.660004,76.330002,75.878967,11157200
2021-09-29,76.529999,78.930000,76.500000,77.379997,76.922760,9700800
2021-09-30,77.559998,78.410004,77.000000,77.389999,76.932701,7537900
2021-10-01,78.059998,79.040001,77.199997,78.529999,78.065971,5861300
2021-10-04,78.190002,78.320000,76.860001,77.180000,76.723946,5955600
2021-10-05,77.250000,77.650002,76.230003,76.800003,76.346191,9771000
2021-10-06,75.930000,78.029999,75.690002,77.290001,76.833298,9477600
2021-10-07,77.269997,78.500000,76.769997,77.360001,76.902885,8527400
2021-10-08,77.760002,78.360001,77.250000,77.610001,77.151405,8885200
2021-10-11,77.739998,77.760002,76.260002,76.320000,75.869026,6326400
2021-10-12,76.449997,76.540001,74.589996,74.919998,74.477295,6640900
2021-10-13,75.339996,76.099998,75.019997,75.250000,74.805351,6597500
2021-10-14,75.940002,77.160004,75.570000,76.110001,75.660271,5471100
2021-10-15,76.500000,77.070000,76.190002,76.400002,75.948555,6472800
2021-10-18,76.139999,76.720001,75.239998,76.400002,75.948555,5417400
2021-10-19,76.769997,77.199997,75.949997,77.180000,76.723946,4238500
2021-10-20,77.519997,78.080002,77.080002,78.080002,77.618629,4537900
2021-10-21,77.720001,78.739998,76.720001,78.699997,78.234962,5904300
2021-10-22,78.620003,80.919998,78.620003,79.269997,78.801590,6960400
2021-10-25,79.430000,81.510002,79.400002,81.190002,80.710251,8345800
2021-10-26,81.809998,82.339996,80.419998,80.760002,80.282791,6420400
2021-10-27,80.220001,80.339996,78.550003,78.650002,78.185265,6261500
2021-10-28,78.599998,78.959999,76.650002,78.879997,78.413895,10842600
2021-10-29,78.930000,79.370003,77.730003,78.190002,77.727982,8370200
2021-11-01,78.940002,80.010002,78.540001,79.349998,78.881119,7569400
2021-11-02,79.290001,79.370003,77.040001,77.669998,77.211052,10370400
2021-11-03,66.250000,67.190002,64.550003,66.750000,66.355576,43753600
2021-11-04,67.470001,68.739998,66.650002,68.230003,67.826836,16203300
2021-11-05,68.570000,68.779999,66.919998,67.830002,67.429199,13716900
2021-11-08,68.430000,68.430000,66.620003,66.820000,66.425163,12825700
2021-11-09,66.989998,67.550003,66.529999,67.099998,66.703506,8812000
2021-11-10,66.730003,67.449997,66.519997,66.660004,66.266113,7966200
2021-11-11,67.250000,67.529999,66.019997,67.500000,67.101143,13235000
2021-11-12,67.720001,70.040001,67.339996,69.690002,69.278206,13923000
2021-11-15,69.320000,70.680000,68.139999,70.430000,70.013832,11628200
2021-11-16,70.550003,72.139999,65.459999,66.139999,65.749184,38243200
2021-11-17,65.529999,65.639999,63.500000,64.199997,63.820641,28771200
2021-11-18,63.599998,64.050003,60.900002,62.669998,62.299683,24241700
2021-11-19,63.750000,64.089996,62.169998,62.380001,62.011398,14485100
2021-11-22,60.930000,62.410000,59.779999,62.200001,61.832462,16583200
2021-11-23,61.849998,62.919998,61.330002,61.770000,61.405003,16564300
